,First Name,Last Name,Email,Region,Join Date,Purchase Frequency,Loyalty Score,Before CRM Sales,After CRM Sales,Loyalty Score Before,Loyalty Score After,Campaign Open Rate (%),Campaign Click Rate (%)
0,Michael,Hamilton,cbond@king.com,Southeast,2024-08-04,0,95,16000000.0,21000000.0,45.0,58.0,40.0,20.0
1,Tammy,Huffman,aclark@king.info,South,2023-12-30,7,18,14000000.0,18000000.0,40.0,55.0,35.0,18.0
2,William,Taylor,parkershane@middleton.com,Midwest,2023-10-04,17,12,13500000.0,17500000.0,42.0,54.0,38.0,19.0
3,Amanda,Mullins,robertmccarthy@hernandez.com,Southeast,2024-08-05,1,4,16000000.0,21000000.0,45.0,58.0,40.0,20.0
4,Curtis,Castillo,fbrooks@marsh-williams.com,South,2023-07-05,7,65,14000000.0,18000000.0,40.0,55.0,35.0,18.0
5,Carol,Whitney,katherine17@gmail.com,Southeast,2023-12-08,17,26,16000000.0,21000000.0,45.0,58.0,40.0,20.0
6,Colleen,Diaz,kwebb@montes.com,Midwest,2023-10-08,17,54,13500000.0,17500000.0,42.0,54.0,38.0,19.0
7,Kelly,Bonilla,yjackson@hotmail.com,South,2023-06-12,18,36,14000000.0,18000000.0,40.0,55.0,35.0,18.0
8,Eric,Durham,wheelerbrenda@hotmail.com,Midwest,2025-03-11,0,98,13500000.0,17500000.0,42.0,54.0,38.0,19.0
9,Susan,Bates,nfoley@yahoo.com,Midwest,2025-04-08,13,44,13500000.0,17500000.0,42.0,54.0,38.0,19.0
10,Eric,Robinson,brianjordan@hotmail.com,South,2025-04-04,6,98,14000000.0,18000000.0,40.0,55.0,35.0,18.0
11,Andrew,Rice,lbrown@gmail.com,South,2025-03-24,2,49,14000000.0,18000000.0,40.0,55.0,35.0,18.0
12,Angel,Levine,joshuajordan@gmail.com,South,2025-03-31,11,78,14000000.0,18000000.0,40.0,55.0,35.0,18.0
13,Jacqueline,Wall,duartenathan@pena.com,South,2024-02-06,1,94,14000000.0,18000000.0,40.0,55.0,35.0,18.0
14,Cassandra,Kerr,meganthompson@gmail.com,Southeast,2023-10-23,3,49,16000000.0,21000000.0,45.0,58.0,40.0,20.0
15,Tracy,Marsh,freemanjoshua@hotmail.com,South,2024-06-05,9,81,14000000.0,18000000.0,40.0,55.0,35.0,18.0
16,Allison,Goodman,waltersryan@hotmail.com,Southeast,2023-06-01,11,74,16000000.0,21000000.0,45.0,58.0,40.0,20.0
17,Matthew,Torres,scottpaul@stark.com,South,2024-11-14,2,6,14000000.0,18000000.0,40.0,55.0,35.0,18.0
18,Katie,Henry,brandi42@hotmail.com,Midwest,2025-03-13,9,11,13500000.0,17500000.0,42.0,54.0,38.0,19.0
19,Nicholas,Dixon,pandrade@yahoo.com,Midwest,2024-05-08,3,49,13500000.0,17500000.0,42.0,54.0,38.0,19.0
20,Stanley,Sutton,ashley34@bond-gomez.com,South,2024-10-17,20,47,14000000.0,18000000.0,40.0,55.0,35.0,18.0
